exp_name,num_frames,num_dct,lr,batch_size,lstm_layers,lstm_hidden,spatial,spectral,metrics,best_epoch,val_loss,val_acc,val_recall,val_auc
aligned_full_model_f40_dct4096,40,4096,0.0001,64,1,256,1,1,1,33,0.7000022761027018,0.7711111307144165,0.7566666603088379,0.8513000011444092
aligned_full_model_f50_dct256,50,256,0.0001,64,1,256,1,1,1,47,0.7810413530137804,0.8088889122009277,0.8566666841506958,0.8838111162185669
aligned_full_model_f50_dct512,50,512,0.0001,64,1,256,1,1,1,35,0.6136830817328559,0.7977777719497681,0.8233333230018616,0.8681555986404419
aligned_full_model_f50_dct1024,50,1024,0.0001,64,1,256,1,1,1,37,0.7045353613959419,0.7599999904632568,0.7300000190734863,0.8787000179290771
aligned_full_model_f50_dct2048,50,2048,0.0001,64,1,256,1,1,1,17,0.5108580186631945,0.7822222113609314,0.8433333039283752,0.8647444248199463
aligned_full_model_f50_dct4096,50,4096,0.0001,64,1,256,1,1,1,24,0.7284678056504992,0.7866666913032532,0.8666666746139526,0.8554666638374329
aligned_full_model_f60_dct256,60,256,0.0001,64,1,256,1,1,1,31,0.5256268819173177,0.8199999928474426,0.8899999856948853,0.881611168384552
aligned_full_model_f60_dct512,60,512,0.0001,64,1,256,1,1,1,49,0.5372327592637803,0.7599999904632568,0.7200000286102295,0.874855637550354
aligned_full_model_f60_dct1024,60,1024,0.0001,64,1,256,1,1,1,20,0.5114139895968967,0.7044444680213928,0.6100000143051147,0.8529777526855469
aligned_full_model_f60_dct2048,60,2048,0.0001,64,1,256,1,1,1,28,0.48366773817274306,0.7955555319786072,0.8533333539962769,0.8824778199195862
aligned_full_model_f60_dct4096,60,4096,0.0001,64,1,256,1,1,1,33,0.747104983859592,0.7933333516120911,0.8166666626930237,0.8618999719619751
aligned_spatial_spectral_f10_dct256,10,256,0.0001,64,1,256,1,1,0,29,0.5234751468234592,0.7755555510520935,0.753333330154419,0.8769999742507935
aligned_spatial_spectral_f10_dct512,10,512,0.0001,64,1,256,1,1,0,50,0.8690289560953776,0.7844444513320923,0.7900000214576721,0.874122142791748
aligned_spatial_spectral_f10_dct1024,10,1024,0.0001,64,1,256,1,1,0,14,0.5156846957736545,0.7488889098167419,0.6833333373069763,0.8476889133453369
aligned_spatial_spectral_f10_dct2048,10,2048,0.0001,64,1,256,1,1,0,10,0.4791653060913086,0.757777750492096,0.7200000286102295,0.8517666459083557
aligned_spatial_spectral_f10_dct4096,10,4096,0.0001,64,1,256,1,1,0,23,0.8988727315266927,0.7666666507720947,0.7599999904632568,0.8423111438751221
aligned_spatial_spectral_f20_dct256,20,256,0.0001,64,1,256,1,1,0,31,0.485106201171875,0.7933333516120911,0.79666668176651,0.882255494594574
aligned_spatial_spectral_f20_dct512,20,512,0.0001,64,1,256,1,1,0,17,0.4974977196587457,0.7777777910232544,0.7799999713897705,0.8713333606719971
aligned_spatial_spectral_f20_dct1024,20,1024,0.0001,64,1,256,1,1,0,35,0.7906921217176649,0.7866666913032532,0.7866666913032532,0.8719444274902344
aligned_spatial_spectral_f20_dct2048,20,2048,0.0001,64,1,256,1,1,0,26,0.7349029710557726,0.7777777910232544,0.7766666412353516,0.8641777634620667
aligned_spatial_spectral_f20_dct4096,20,4096,0.0001,64,1,256,1,1,0,18,0.5728297848171658,0.7733333110809326,0.7699999809265137,0.8631554841995239
aligned_spatial_spectral_f30_dct256,30,256,0.0001,64,1,256,1,1,0,40,0.6541116163465712,0.804444432258606,0.8299999833106995,0.8803222179412842
aligned_spatial_spectral_f30_dct512,30,512,0.0001,64,1,256,1,1,0,54,0.8435397593180338,0.8222222328186035,0.8433333039283752,0.8961111307144165
aligned_spatial_spectral_f30_dct1024,30,1024,0.0001,64,1,256,1,1,0,16,0.48836384667290583,0.7933333516120911,0.7833333611488342,0.8613333106040955
